Entry ID,Source Organism,Accession Code(s)
,Homo sapiens,P61769
1DVA,Homo sapiens,P08709
,Homo sapiens,P08709
1DWB,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1DWC,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1DWD,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1DWE,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28508
1DX5,Homo sapiens,P00734
,Homo sapiens,P07204
,Homo sapiens,P00734
1E0F,Homo sapiens,P00734
,Homo sapiens,P00734
,Haemadipsa sylvestris,Q25163
1.00E+27,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P24740
1.00E+28,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P12499
1EB1,synthetic construct,
,Homo sapiens,P00734
,Homo sapiens,P00734
,synthetic construct,
1EEY,Homo sapiens,P04439
,Homo sapiens,P61769
1EEZ,Homo sapiens,P04439
,Homo sapiens,P61769
1EFX,Homo sapiens,P10321
,Homo sapiens,P61769
,,P52292
,Homo sapiens,P43627
1EGJ,Homo sapiens,P32927
,Mus musculus,P01661
,Mus musculus,P01865
1EZX,Homo sapiens,P01009
,Homo sapiens,P01009
,Bos taurus,P00760
1F66,,
,Xenopus laevis,P84233
,Mus musculus,P62806
,Homo sapiens,P0C0S5
,Xenopus laevis,P02281
1F9E,Homo sapiens,Q14790
,Homo sapiens,Q14790
1FAK,Homo sapiens,P13726
,Homo sapiens,P08709
,Homo sapiens,P08709
,,P00974
1FBV,Homo sapiens,P22681
,,P43403
,Homo sapiens,P68036
1FE8,Homo sapiens,P04275
,Mus musculus,P01863
,Mus musculus,
1FM6,Homo sapiens,P19793
,Homo sapiens,P37231
,,Q15788
1FM9,Homo sapiens,P19793
,Homo sapiens,P37231
,,Q15788
1FNS,Mus musculus,P01837
,Mus musculus,P01868
,Homo sapiens,P04275
1FPC,Hirudo medicinalis,P28504
,Homo sapiens,P00734
,Homo sapiens,P00734
1FPH,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28506
,,P02671
1FV1,Homo sapiens,P01903
,Homo sapiens,Q30154
,,P02686
1FYT,Homo sapiens,P01903
,Homo sapiens,P01911
,H3N2 subtype,P03437
,Homo sapiens,P01848
,Homo sapiens,P01850
1FZA,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
1FZB,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
1FZC,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
,Homo sapiens,
,Homo sapiens,
1FZE,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
1FZF,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
,Homo sapiens,P02675
1FZG,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
,Homo sapiens,P02675
1G30,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1G32,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1G3N,Homo sapiens,Q00534
,Homo sapiens,P42773
,Human gammaherpesvirus 8,Q98147
1G9M,Human immunodeficiency virus 1,P04578
,Homo sapiens,P01730
,Homo sapiens,
,Homo sapiens,
1G9N,Human immunodeficiency virus 1,P35961
,Homo sapiens,P01730
,Homo sapiens,
,Homo sapiens,
1GC1,Human immunodeficiency virus 1,P04578
,Homo sapiens,P01730
,Homo sapiens,
,Homo sapiens,
1GHV,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1GHW,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1GHX,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1GHY,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1GJ4,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1GJ5,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1GUX,Homo sapiens,P06400
,Homo sapiens,P06400
,Human papillomavirus,
1GY3,Homo sapiens,P24941
,Homo sapiens,P20248
,synthetic construct,
1GZH,Homo sapiens,P04637
,Homo sapiens,Q12888
,Homo sapiens,P04637
1H0D,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P03950
1H15,Homo sapiens,P01903
,Homo sapiens,Q30154
,Human gammaherpesvirus 4,P03198
1H24,Homo sapiens,P24941
,Homo sapiens,Q01094
,Homo sapiens,P20248
1H25,Homo sapiens,P24941
,Homo sapiens,P20248
,Homo sapiens,P06400
1H26,Homo sapiens,P24941
,Homo sapiens,P20248
,Homo sapiens,P04637
1H27,Homo sapiens,P24941
,Homo sapiens,P20248
,Homo sapiens,P46527
1H28,Homo sapiens,P24941
,Homo sapiens,P20248
,Homo sapiens,P28749
1H8D,Homo sapiens,P00734
,Hirudo medicinalis,P01050
,Homo sapiens,P00734
1H8I,Homo sapiens,P00734
,Hirudo medicinalis,P01050
,Homo sapiens,P00734
1HAH,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28507
1HBT,Homo sapiens,P00734
,Homo sapiens,P00734
1HDT,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28509
1HEZ,Homo sapiens,P01834
,Homo sapiens,P01871
,Finegoldia magna,Q51918
1HGT,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28507
1HHG,Homo sapiens,P04439
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P04582
1HHH,Homo sapiens,P04439
,Homo sapiens,P61769
,Hepatitis B virus,P12901
1HHI,Homo sapiens,P04439
,Homo sapiens,P61769
,Influenza A virus,P03485
1HHJ,Homo sapiens,P04439
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P04588
1HHK,Homo sapiens,P04439
,Homo sapiens,P61769
,Human T-cell leukemia virus type I,P14079
1HLT,Homo sapiens,P00734
,Homo sapiens,P00734
,,P07204
1HQR,Homo sapiens,P01903
,Homo sapiens,Q30154
,Homo sapiens,P02686
,Streptococcus pyogenes,Q8NKX2
1HSA,Homo sapiens,P01889
,Homo sapiens,P61769
1HSB,Homo sapiens,P04439
,Homo sapiens,P61769
1HXE,Homo sapiens,P00734
,Homo sapiens,P00734
,,P01050
1HXF,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1HXY,Homo sapiens,P01903
,Homo sapiens,P01911
,,Q03909
,Staphylococcus aureus,P0A0M0
1I1F,Homo sapiens,P04439
,Homo sapiens,P61769
1I1Y,Homo sapiens,P04439
,Homo sapiens,P61769
1I3O,Homo sapiens,P42574
,Homo sapiens,P42574
,Homo sapiens,P98170
1I4F,Homo sapiens,P04439
,Homo sapiens,P61769
,,P43358
1I51,Homo sapiens,P55210
,Homo sapiens,P55210
,Homo sapiens,P98170
1I7R,Homo sapiens,P61769
,Homo sapiens,P04439
1I7T,Homo sapiens,P04439
,Homo sapiens,P61769
1I7U,Homo sapiens,P04439
,Homo sapiens,P61769
1I9R,Homo sapiens,
,Homo sapiens,P29965
,Homo sapiens,
1IBC,Homo sapiens,P29466
,Homo sapiens,P29466
1ICE,Homo sapiens,P29466
,Homo sapiens,P29466
1ICF,Homo sapiens,P07711
,Homo sapiens,P07711
,Homo sapiens,P04233
1ID3,Homo sapiens,
,Saccharomyces cerevisiae,P61830
,Saccharomyces cerevisiae,P02309
,Saccharomyces cerevisiae,P04911
,Saccharomyces cerevisiae,P02294
1IHS,Homo sapiens,P00734
,Homo sapiens,P00734
,,P28504
1IHT,Homo sapiens,P00734
,Homo sapiens,P00734
,,P09944
1IJK,Homo sapiens,P04275
,Bothrops jararaca,P22029
,Bothrops jararaca,P22030
1IKN,Mus musculus,Q04207
,Mus musculus,P25799
,Homo sapiens,P25963
1IM3,Homo sapiens,P04439
,Homo sapiens,P61769
,,P14079
,Human betaherpesvirus 5,P09713
1IM9,Homo sapiens,P10321
,Homo sapiens,P61769
,Homo sapiens,P43626
1IO4,,
,Homo sapiens,P17676
,Mus musculus,Q03347
,Mus musculus,Q08024
1IQD,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P00451
1J1D,Homo sapiens,P63316
,Homo sapiens,P45379
,Homo sapiens,P19429
1J1E,Homo sapiens,P63316
,Homo sapiens,P45379
,Homo sapiens,P19429
1J8H,Homo sapiens,P01903
,Homo sapiens,P01911
,Alphainfluenzavirus,P03437
,Homo sapiens,P01848
,Homo sapiens,P01850
1J9C,Homo sapiens,P13726
,Homo sapiens,P08709
,Homo sapiens,P08709
1JBU,Homo sapiens,P08709
,Homo sapiens,P08709
,Escherichia coli,
1JEW,Homo sapiens,P78310
,Coxsackievirus B3 (strain Woodruff),Q66282
,Coxsackievirus B3 (strain Woodruff),Q66282
,Coxsackievirus B3 (strain Woodruff),Q66282
,Coxsackievirus B3 (strain Woodruff),Q66282
1JF1,Homo sapiens,P04439
,Homo sapiens,P61769
1JFI,,
,Homo sapiens,Q14919
,Homo sapiens,Q01658
,Homo sapiens,P20226
1JGD,Homo sapiens,P01889
,Homo sapiens,P61769
1JGE,Homo sapiens,P01889
,Homo sapiens,P61769
1JHT,Homo sapiens,P04439
,Homo sapiens,P61769
1JK8,Homo sapiens,P01909
,Homo sapiens,P01920
,,P01308
1JL4,Mus musculus,P01910
,Mus musculus,P06343
,Gallus gallus,P02789
,Homo sapiens,P01730
1JMO,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P05546
1JN5,Homo sapiens,Q9UBU9
,Homo sapiens,Q9UKK6
1JPS,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P13726
1JRH,Mus musculus,P01837
,Mus musculus,P01869
,Homo sapiens,P15260
1JSU,Homo sapiens,P24941
,Homo sapiens,P20248
,Homo sapiens,P46527
1JU5,Homo sapiens,P46108
,Homo sapiens,P00519
,Mus musculus,Q64010
1JVQ,Homo sapiens,P01008
1JWM,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P0A0L5
1JWS,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P0A0L5
1JWU,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P0A0L5
1K21,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
1K22,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
1K3B,Homo sapiens,P53634
,Homo sapiens,P53634
,Homo sapiens,P53634
1K5D,Homo sapiens,P62826
,Homo sapiens,P43487
,Schizosaccharomyces pombe,P41391
1K5G,Homo sapiens,P62826
,Homo sapiens,P43487
,Schizosaccharomyces pombe,P41391
1K5N,Homo sapiens,P01889
,Homo sapiens,P61769
1K74,Homo sapiens,P19793
,Homo sapiens,P37231
,,Q15788
1KG0,Homo sapiens,P01903
,Homo sapiens,P01911
,synthetic construct,P03437
,Human gammaherpesvirus 4,P03205
1KIL,Rattus norvegicus,P63045
,Rattus norvegicus,P32851
,Homo sapiens,P60880
,Homo sapiens,P60880
,Rattus norvegicus,P63041
1KLG,Homo sapiens,P01903
,Homo sapiens,P01911
,,P60174
,Staphylococcus aureus,P0A0L5
1KLU,Homo sapiens,P01903
,Homo sapiens,P01911
,,P60174
,Staphylococcus aureus,P0A0L5
1KPR,Homo sapiens,P13747
,Homo sapiens,P61769
1KTL,Homo sapiens,P13747
,Homo sapiens,P61769
1KTS,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1KTT,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1KX3,Xenopus laevis,P84233
,Homo sapiens,
,Xenopus laevis,P62799
,Xenopus laevis,P06897
,Xenopus laevis,P02281
1KX4,Homo sapiens,
,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P02281
,Xenopus laevis,P06897
1KX5,Homo sapiens,
,Homo sapiens,
,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P06897
,Xenopus laevis,P02281
1L1O,Homo sapiens,P35244
,Homo sapiens,P15927
,Homo sapiens,P27694
1L5G,Homo sapiens,P06756
,Homo sapiens,P05106
1LDK,Homo sapiens,Q13616
,Homo sapiens,Q13616
,Homo sapiens,P62877
,Homo sapiens,P63208
,Homo sapiens,Q13309
1LGB,Lathyrus ochrus,P04122
,Lathyrus ochrus,P12307
,Homo sapiens,P02788
1LHC,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,
1LHD,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,
1LHE,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,
1LHF,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,
1LHG,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,
1LK3,Homo sapiens,P22301
,Rattus norvegicus,P01835
,Rattus norvegicus,P20759
1LK6,Homo sapiens,P01008
1LM8,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
,,Q16665
1LO5,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P0A0L2
1LP9,Homo sapiens,P04439
,Homo sapiens,P61769
,,Q9NPA0
,Mus musculus,P01849
,Mus musculus,P04213
1LQB,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
,,Q16665
1LT9,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
1LTJ,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
1LYB,Homo sapiens,P07339
,Streptomyces argenteolus subsp. toyonakensis,
,Homo sapiens,P07339
1M05,Homo sapiens,P01889
,Homo sapiens,P61769
,,P12977
1M11,Homo sapiens,P08174
,Echovirus E7,Q914E0
,Echovirus E7,Q914E0
,Echovirus E7,Q914E0
1M27,Homo sapiens,O60880
,,Q13291
,Homo sapiens,P06241
1M63,Homo sapiens,Q08209
,Homo sapiens,P63098
,Homo sapiens,P62937
,Tolypocladium inflatum,NOR00033
1M6O,Homo sapiens,P01889
,Homo sapiens,P61769
,,Q95HB9
1MF8,Homo sapiens,Q08209
,Homo sapiens,P63098
,Homo sapiens,P62937
,Tolypocladium inflatum,NOR00033
1MHE,Homo sapiens,P13747
,Homo sapiens,P61769
1MHW,Homo sapiens,P07711
,Homo sapiens,P07711
1MI5,Homo sapiens,P01889
,Homo sapiens,P61769
,,Q3KST2
,Homo sapiens,P01848
,Homo sapiens,P01850
1MU6,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1MU8,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28506
1MUE,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1MUJ,Mus musculus,P14434
,Mus musculus,P14483
,Homo sapiens,P04233
1N0W,Homo sapiens,P51587
,Homo sapiens,Q06609
1N0X,Homo sapiens,P01834
,Homo sapiens,P0DOX5
,synthetic construct,
1N2R,Homo sapiens,P01889
,Homo sapiens,P61769
,,Q95HB9
1N4P,Rattus norvegicus,Q04631
,Rattus norvegicus,P53610
,Homo sapiens,P01116
1N4Q,Rattus norvegicus,Q04631
,Rattus norvegicus,P53610
,Homo sapiens,P01116
1N4R,Rattus norvegicus,Q04631
,Rattus norvegicus,P53610
,Homo sapiens,P01116
1N4S,Rattus norvegicus,Q04631
,Rattus norvegicus,P53610
,Homo sapiens,P01116
1N86,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
,,P02671
,,P02675
1N8E,Homo sapiens,P02671
,Homo sapiens,P02675
,Homo sapiens,P02679
1N8Z,"Mus musculus, Homo sapiens",
,"Mus musculus, Homo sapiens",
,Homo sapiens,P04626
1NB3,Sus scrofa,O46427
,Sus scrofa,O46427
,Homo sapiens,P01040
1NB5,Sus scrofa,O46427
,Sus scrofa,O46427
,Homo sapiens,P01040
1NFI,Homo sapiens,Q04206
,Homo sapiens,P19838
,Homo sapiens,P25963
1NL0,Homo sapiens,
,Homo sapiens,
,,P00740
1NN8,Human poliovirus 1 Mahoney,P03300
,Homo sapiens,P15151
,Human poliovirus 1 Mahoney,P03300
,Human poliovirus 1 Mahoney,P03300
,Human poliovirus 1 Mahoney,P03300
1NO9,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1NP0,Homo sapiens,P07686
,Homo sapiens,P07686
,Homo sapiens,P07686
1NRN,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P25116
1NRO,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P25116
1NRP,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P25116
1NRQ,Homo sapiens,P00734
,Homo sapiens,P00734
,,P25116
1NRR,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P25116
1NRS,Homo sapiens,
,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
1NU7,Homo sapiens,P00734
,Staphylococcus aureus,Q846V4
,Homo sapiens,P00734
1NVP,,
,Homo sapiens,P52655
,Homo sapiens,P52655
,Homo sapiens,P52657
,Homo sapiens,P20226
1NVV,Homo sapiens,P01112
,Homo sapiens,P01112
,Homo sapiens,Q07889
1NY2,,P28504
,Homo sapiens,P00734
,Homo sapiens,P00734
,,P01042
1NZQ,Homo sapiens,P00734
,Homo sapiens,P00734
1O0D,,
,Homo sapiens,P00734
,Homo sapiens,P00734
1O2G,Homo sapiens,P00734
,Hirudo medicinalis,P28504
,Homo sapiens,P00734
1O5D,Homo sapiens,P08709
,Homo sapiens,P08709
,Homo sapiens,P13726
1O5G,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1O9K,Homo sapiens,P06400
,Homo sapiens,P06400
,Homo sapiens,Q01094
1OAK,Mus musculus,1890296
,Mus musculus,P01868
,Homo sapiens,P04275
1OF2,Homo sapiens,P01889
,Homo sapiens,P61769
,Homo sapiens,P32241
1OGA,Homo sapiens,P04439
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,P01848
,Homo sapiens,P01850
1OGT,Homo sapiens,P01889
,Homo sapiens,P61769
,Homo sapiens,P32241
1OKV,Homo sapiens,P24941
,Homo sapiens,P20248
,synthetic construct,
1OKW,Homo sapiens,P24941
,Homo sapiens,P20248
,synthetic construct,
1OL1,Homo sapiens,P24941
,Homo sapiens,P20248
,synthetic construct,
1OL2,Homo sapiens,P24941
,Homo sapiens,P20248
,synthetic construct,
1OOK,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P07359
1OYT,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28506
1P0S,Homo sapiens,P00742
,Homo sapiens,P00742
,Escherichia coli,P23827
1P22,Homo sapiens,Q9Y297
,Homo sapiens,P63208
,Homo sapiens,P35222
1P34,Homo sapiens,
,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P06897
,Xenopus laevis,P02281
1P3A,Homo sapiens,
,Xenopus laevis,P84233
,Xenopus laevis,P06897
,Xenopus laevis,P02281
,Xenopus laevis,P62799
1P3B,Homo sapiens,
,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P06897
,Xenopus laevis,P02281
1P3F,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P06897
,Xenopus laevis,P02281
,Homo sapiens,
1P3G,Homo sapiens,
,Xenopus laevis,P02281
,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P06897
1P3I,Homo sapiens,
,Xenopus laevis,P84233
,Xenopus laevis,P06897
,Xenopus laevis,P02281
,Xenopus laevis,P62799
1P3K,Xenopus laevis,P84233
,Xenopus laevis,P62799
